audit_id,clip,source_file,slot,source_frame,visible_paint_corners,reachable_four_corners
wnba__wnba_02__s13__f025661,wnba__wnba_02,wnba__wnba_02.mp4,13,25661,0,0
wnba__wnba_02__s14__f028583,wnba__wnba_02,wnba__wnba_02.mp4,14,28583,4,1
wnba__wnba_04__s00__f000388,wnba__wnba_04,wnba__wnba_04.mp4,0,388,0,0
wnba__wnba_04__s01__f003208,wnba__wnba_04,wnba__wnba_04.mp4,1,3208,0,0
wnba__wnba_04__s02__f005607,wnba__wnba_04,wnba__wnba_04.mp4,2,5607,0,0
wnba__wnba_04__s03__f007241,wnba__wnba_04,wnba__wnba_04.mp4,3,7241,4,1
wnba__wnba_04__s04__f008880,wnba__wnba_04,wnba__wnba_04.mp4,4,8880,0,0
wnba__wnba_04__s05__f011340,wnba__wnba_04,wnba__wnba_04.mp4,5,11340,4,1
wnba__wnba_04__s06__f012223,wnba__wnba_04,wnba__wnba_04.mp4,6,12223,4,1
wnba__wnba_04__s07__f014123,wnba__wnba_04,wnba__wnba_04.mp4,7,14123,4,1
wnba__wnba_04__s08__f016720,wnba__wnba_04,wnba__wnba_04.mp4,8,16720,0,0
wnba__wnba_04__s09__f019061,wnba__wnba_04,wnba__wnba_04.mp4,9,19061,4,1
wnba__wnba_04__s10__f019435,wnba__wnba_04,wnba__wnba_04.mp4,10,19435,4,1
wnba__wnba_04__s11__f021190,wnba__wnba_04,wnba__wnba_04.mp4,11,21190,0,0
wnba__wnba_04__s12__f023214,wnba__wnba_04,wnba__wnba_04.mp4,12,23214,4,1
wnba__wnba_04__s13__f026648,wnba__wnba_04,wnba__wnba_04.mp4,13,26648,4,1
wnba__wnba_04__s14__f027871,wnba__wnba_04,wnba__wnba_04.mp4,14,27871,0,0
wnba__wnba_05__s00__f000232,wnba__wnba_05,wnba__wnba_05.mp4,0,232,0,0
wnba__wnba_05__s01__f001932,wnba__wnba_05,wnba__wnba_05.mp4,1,1932,4,1
wnba__wnba_05__s02__f004682,wnba__wnba_05,wnba__wnba_05.mp4,2,4682,4,1
wnba__wnba_05__s03__f006549,wnba__wnba_05,wnba__wnba_05.mp4,3,6549,4,1
wnba__wnba_05__s04__f009462,wnba__wnba_05,wnba__wnba_05.mp4,4,9462,4,1
wnba__wnba_05__s05__f011427,wnba__wnba_05,wnba__wnba_05.mp4,5,11427,4,1
wnba__wnba_05__s06__f011839,wnba__wnba_05,wnba__wnba_05.mp4,6,11839,4,1
wnba__wnba_05__s07__f015289,wnba__wnba_05,wnba__wnba_05.mp4,7,15289,4,1
wnba__wnba_05__s08__f016997,wnba__wnba_05,wnba__wnba_05.mp4,8,16997,4,1
wnba__wnba_05__s09__f017746,wnba__wnba_05,wnba__wnba_05.mp4,9,17746,0,0
wnba__wnba_05__s10__f019936,wnba__wnba_05,wnba__wnba_05.mp4,10,19936,4,1
wnba__wnba_05__s11__f022571,wnba__wnba_05,wnba__wnba_05.mp4,11,22571,0,0
wnba__wnba_05__s12__f023456,wnba__wnba_05,wnba__wnba_05.mp4,12,23456,4,1
wnba__wnba_05__s13__f025829,wnba__wnba_05,wnba__wnba_05.mp4,13,25829,4,1
wnba__wnba_05__s14__f026913,wnba__wnba_05,wnba__wnba_05.mp4,14,26913,0,0
wnba__wnba_06__s00__f000221,wnba__wnba_06,wnba__wnba_06.mp4,0,221,4,1
wnba__wnba_06__s01__f003313,wnba__wnba_06,wnba__wnba_06.mp4,1,3313,0,0
wnba__wnba_06__s02__f004920,wnba__wnba_06,wnba__wnba_06.mp4,2,4920,0,0
wnba__wnba_06__s03__f007237,wnba__wnba_06,wnba__wnba_06.mp4,3,7237,4,1
wnba__wnba_06__s04__f008424,wnba__wnba_06,wnba__wnba_06.mp4,4,8424,0,0
wnba__wnba_06__s05__f010018,wnba__wnba_06,wnba__wnba_06.mp4,5,10018,0,0
wnba__wnba_06__s06__f012506,wnba__wnba_06,wnba__wnba_06.mp4,6,12506,0,0
wnba__wnba_06__s07__f014099,wnba__wnba_06,wnba__wnba_06.mp4,7,14099,4,1
wnba__wnba_06__s08__f015650,wnba__wnba_06,wnba__wnba_06.mp4,8,15650,0,0
wnba__wnba_06__s09__f018997,wnba__wnba_06,wnba__wnba_06.mp4,9,18997,4,1
wnba__wnba_06__s10__f019745,wnba__wnba_06,wnba__wnba_06.mp4,10,19745,0,0
wnba__wnba_06__s11__f021935,wnba__wnba_06,wnba__wnba_06.mp4,11,21935,0,0
wnba__wnba_06__s12__f023949,wnba__wnba_06,wnba__wnba_06.mp4,12,23949,0,0
wnba__wnba_06__s13__f025384,wnba__wnba_06,wnba__wnba_06.mp4,13,25384,0,0
wnba__wnba_06__s14__f027993,wnba__wnba_06,wnba__wnba_06.mp4,14,27993,4,1
wnba__wnba_07__s00__f001048,wnba__wnba_07,wnba__wnba_07.mp4,0,1048,0,0
wnba__wnba_07__s01__f003355,wnba__wnba_07,wnba__wnba_07.mp4,1,3355,4,1
wnba__wnba_07__s02__f005057,wnba__wnba_07,wnba__wnba_07.mp4,2,5057,0,0
wnba__wnba_07__s03__f006702,wnba__wnba_07,wnba__wnba_07.mp4,3,6702,4,1
wnba__wnba_07__s04__f008550,wnba__wnba_07,wnba__wnba_07.mp4,4,8550,0,0
wnba__wnba_07__s05__f010417,wnba__wnba_07,wnba__wnba_07.mp4,5,10417,4,1
wnba__wnba_07__s06__f012137,wnba__wnba_07,wnba__wnba_07.mp4,6,12137,0,0
wnba__wnba_07__s07__f013759,wnba__wnba_07,wnba__wnba_07.mp4,7,13759,0,0
wnba__wnba_07__s08__f016801,wnba__wnba_07,wnba__wnba_07.mp4,8,16801,4,1
wnba__wnba_07__s09__f017868,wnba__wnba_07,wnba__wnba_07.mp4,9,17868,0,0
wnba__wnba_07__s10__f019853,wnba__wnba_07,wnba__wnba_07.mp4,10,19853,0,0
wnba__wnba_07__s11__f022686,wnba__wnba_07,wnba__wnba_07.mp4,11,22686,4,1
wnba__wnba_07__s12__f024985,wnba__wnba_07,wnba__wnba_07.mp4,12,24985,4,1
wnba__wnba_07__s13__f025027,wnba__wnba_07,wnba__wnba_07.mp4,13,25027,4,1
wnba__wnba_07__s14__f028285,wnba__wnba_07,wnba__wnba_07.mp4,14,28285,0,0
